監督名,年度,チーム,大会,試合数,勝,分,負,成績,URL
チッタ,2001,浦和,J1,15,7,1,7,7位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1829
チッタ,2001,浦和,J1,3,1,0,2,12位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1829
チッタ,2001,浦和,YNC,6,4,0,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1829
張　外龍,84,18,41,14,6,3,5,18,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2000,Ｖ川崎,J1,15,7,1,7,9位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2000,Ｖ川崎,J1,15,5,3,7,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2000,Ｖ川崎,YNC,6,4,1,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2002,札幌,J1,12,3,0,9,16位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2003,札幌,J2,18,4,4,10,9位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2009,大宮,J1,34,9,12,13,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2009,大宮,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2010,大宮,J1,8,1,2,5,12位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2206
張　外龍,2010,大宮,YNC,2,0,1,1,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2206
中後　雅喜,6,3,0,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=19393
中後　雅喜,2024,鹿島,J1,6,3,3,0,5位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=19393
曺　貴裁,303,73,136,55,23,10,22,168,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2012,湘南,J2,42,20,15,7,2位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2013,湘南,J1,34,6,7,21,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2013,湘南,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2014,湘南,J2,42,31,8,3,優勝/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2015,湘南,J1,17,6,4,7,10位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2015,湘南,J1,17,7,5,5,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2015,湘南,YNC,6,2,3,1,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2016,湘南,J1,17,4,4,9,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2016,湘南,J1,17,3,2,12,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2016,湘南,YLC,6,2,1,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2017,湘南,J2,42,24,11,7,優勝/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2018,湘南,J1,34,10,11,13,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2018,湘南,YLC,13,7,3,3,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2019,湘南,J1,28,9,4,15,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2019,湘南,YLC,6,2,1,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2021,京都,J2,42,24,12,6,2位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2022,京都,J1,34,8,12,14,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2022,京都,YLC,8,3,1,4,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2023,京都,J1,34,12,4,18,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2023,京都,YLC,6,3,0,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2024,京都,J1,38,12,11,15,14位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2024,京都,YLC,1,0,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2025,京都,J1,33,17,9,7,3位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1557
曺　貴裁,2025,京都,YLC,3,2,0,1,3回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1557
塚田　雄二,32,9,15,8,2,2,4,40,https://data.j-league.or.jp/SFIX07/?staff_id=503
塚田　雄二,2000,甲府,YNC,2,0,0,2,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=503
塚田　雄二,2000,甲府,J2,40,5,3,32,11位/11チーム,https://data.j-league.or.jp/SFIX07/?staff_id=503
塚田　雄二,2003,Ｃ大阪,J1,6,3,1,2,12位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=503
塚田　雄二,2006,Ｃ大阪,J1,26,5,8,13,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=503
塚田　雄二,2006,Ｃ大阪,YNC,6,2,2,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=503
辻田　真輝,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=16849
辻田　真輝,2025,金沢,J3,17,9,2,6,7位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=16849
辻本　茂輝,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=9117
都並　敏史,-,-,-,-,-,-,-,99,https://data.j-league.or.jp/SFIX07/?staff_id=1869
都並　敏史,2005,仙台,J2,44,19,11,14,4位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1869
都並　敏史,2007,Ｃ大阪,J2,13,4,3,6,5位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1869
都並　敏史,2008,横浜FC,J2,42,11,17,14,10位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1869
手倉森　誠,172,59,58,36,14,8,14,177,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2008,仙台,J2,42,18,16,8,3位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2009,仙台,J2,51,32,10,9,優勝/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2010,仙台,J1,34,10,9,15,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2010,仙台,YNC,8,3,4,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2011,仙台,J1,34,14,14,6,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2011,仙台,YNC,4,2,1,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2012,仙台,J1,34,15,12,7,2位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2012,仙台,YNC,8,4,1,3,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2013,仙台,J1,34,11,12,11,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2013,仙台,YNC,2,0,0,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2019,長崎,YLC,8,3,2,3,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2019,長崎,J2,42,17,5,20,12位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2020,長崎,J2,42,23,11,8,3位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2021,仙台,J1,36,5,12,19,19位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=641
手倉森　誠,2021,仙台,YLC,6,2,0,4,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=641
手塚　聡,-,-,-,-,-,-,-,95,https://data.j-league.or.jp/SFIX07/?staff_id=171
手塚　聡,2005,草津,J2,44,5,8,31,12位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=171
手塚　聡,2009,岡山,J2,51,8,12,31,18位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=171
寺田　周平,-,-,-,3,1,0,2,-,https://data.j-league.or.jp/SFIX07/?staff_id=3871
寺田　周平,2024,福島,YLC,1,0,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3871
寺田　周平,2024,福島,J3,38,18,5,15,5位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3871
寺田　周平,2025,福島,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3871
寺田　周平,2025,福島,J3,31,11,8,12,11位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3871
デラ　クルス,47,3,15,6,4,1,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=783
デラ　クルス,1998,横浜Ｍ,J,17,11,-,6,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=783
デラ　クルス,1999,横浜FM,J1,15,8,1,6,7位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=783
デラ　クルス,1999,横浜FM,J1,15,10,2,3,3位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=783
デラ　クルス,1999,横浜FM,YNC,6,4,1,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=783
冨樫　剛一,-,-,-,-,-,-,-,95,https://data.j-league.or.jp/SFIX07/?staff_id=1170
冨樫　剛一,2014,東京Ｖ,J2,11,3,6,2,20位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1170
冨樫　剛一,2015,東京Ｖ,J2,42,16,10,16,8位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1170
冨樫　剛一,2016,東京Ｖ,J2,42,10,13,19,18位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1170
時崎　悠,-,-,-,-,-,-,-,84,https://data.j-league.or.jp/SFIX07/?staff_id=7756
時崎　悠,2021,福島,J3,28,13,6,9,5位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=7756
時崎　悠,2022,栃木,J2,42,11,16,15,17位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=7756
時崎　悠,2023,栃木,J2,42,10,14,18,19位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=7756
戸田　和幸,-,-,-,1,0,0,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=18070
戸田　和幸,2023,相模原,J3,38,9,14,15,18位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=18070
戸田　和幸,2024,相模原,YLC,1,0,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=18070
戸田　和幸,2024,相模原,J3,17,6,7,4,9位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=18070
トニーニョ　セレーゾ,272,47,84,54,27,6,21,-,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2000,鹿島,J1,15,8,0,7,8位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2000,鹿島,J1,15,10,4,1,優勝/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2000,鹿島,YNC,7,5,2,0,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2001,鹿島,J1,15,6,1,8,11位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2001,鹿島,J1,15,13,0,2,優勝/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2001,鹿島,YNC,6,2,1,3,準決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2002,鹿島,J1,15,9,0,6,5位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2002,鹿島,J1,15,9,0,6,3位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2002,鹿島,YNC,9,6,0,3,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2003,鹿島,J1,15,7,2,6,8位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2003,鹿島,J1,15,6,7,2,4位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2003,鹿島,YNC,5,3,0,2,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2004,鹿島,J1,15,7,3,5,5位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2004,鹿島,J1,15,7,3,5,4位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2004,鹿島,YNC,7,3,1,3,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2005,鹿島,J1,34,16,11,7,3位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2005,鹿島,YNC,6,1,2,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2013,鹿島,J1,34,18,5,11,5位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2013,鹿島,YNC,8,4,0,4,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2014,鹿島,J1,34,18,6,10,3位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2014,鹿島,YNC,6,3,0,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2015,鹿島,J1,17,6,4,7,8位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ　セレーゾ,2015,鹿島,J1,3,1,1,1,2位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1561
トニーニョ・モウラ,19,-,11,15,6,5,4,-,https://data.j-league.or.jp/SFIX07/?staff_id=572
トニーニョ・モウラ,1996,平塚,J,19,8,-,11,11位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=572
トニーニョ・モウラ,1996,平塚,YNC,15,6,5,4,準決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=572
トムソン,126,3,65,18,7,2,9,-,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1997,広島,J,16,8,-,8,10位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1997,広島,J,16,5,-,11,13位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1997,広島,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1998,広島,J,17,7,-,10,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1998,広島,J,17,9,-,8,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1998,広島,YNC,4,1,1,2,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1999,広島,J1,15,9,0,6,6位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1999,広島,J1,15,7,1,7,8位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,1999,広島,YNC,4,2,0,2,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,2000,広島,J1,15,7,1,7,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,2000,広島,J1,15,6,1,8,11位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=814
トムソン,2000,広島,YNC,4,2,0,2,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=814
トルステン　フィンク,40,11,14,1,0,0,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=12320
トルステン　フィンク,2019,神戸,J1,20,10,3,7,8位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12320
トルステン　フィンク,2020,神戸,J1,20,5,8,7,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12320
トルステン　フィンク,2020,神戸,YLC,1,0,0,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=12320
ドワイト,-,-,-,-,-,-,-,30,https://data.j-league.or.jp/SFIX07/?staff_id=2834
ドワイト,2011,千葉,J2,30,14,8,8,6位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2834
内藤　就行,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=2631
内藤　就行,2021,宮崎,J3,28,16,5,7,3位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2631
中口　雅史,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=4343
中口　雅史,2020,八戸,J3,34,8,9,17,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4343
中田　一三,-,-,-,1,0,0,1,42,https://data.j-league.or.jp/SFIX07/?staff_id=12112
中田　一三,2019,京都,J2,42,19,11,12,8位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12112
中田　一三,2024,奈良,J3,12,2,8,2,17位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12112
中田　一三,2025,奈良,YLC,1,0,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=12112
中田　一三,2025,奈良,J3,15,5,5,5,6位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12112
中田　仁司,10,1,7,-,-,-,-,73,https://data.j-league.or.jp/SFIX07/?staff_id=1567
中田　仁司,2005,名古屋,J1,10,2,1,7,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1567
中田　仁司,2015,横浜FC,J2,11,4,5,2,15位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1567
中田　仁司,2016,横浜FC,J2,25,11,6,8,8位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1567
中田　仁司,2017,横浜FC,J2,37,16,9,12,10位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1567
仲田　建二,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=3350
仲田　建二,2020,岐阜,J3,18,8,4,6,6位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3350
仲田　建二,2022,YS横浜,J3,9,0,2,7,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3350
中三川　哲治,-,-,-,2,1,0,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=13951
中三川　哲治,2023,岩手,J3,11,6,3,2,10位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=13951
中三川　哲治,2024,岩手,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=13951
中三川　哲治,2024,岩手,J3,13,2,3,8,20位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=13951
中村　重和,-,-,-,-,-,-,-,20,https://data.j-league.or.jp/SFIX07/?staff_id=1883
中村　重和,2002,福岡,J2,20,2,5,13,8位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1883
中村　忠,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=3312
中村　忠,2016,Ｆ東23,J3,12,5,4,3,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3312
中村　忠,2017,Ｆ東23,J3,32,12,7,13,11位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3312
中山　元気,-,-,-,-,-,-,-,17,https://data.j-league.or.jp/SFIX07/?staff_id=6606
中山　元気,2023,山口,J2,5,1,2,2,20位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6606
中山　元気,2025,山口,J2,12,1,5,6,19位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6606
中山　雅史,-,-,-,3,1,0,2,-,https://data.j-league.or.jp/SFIX07/?staff_id=14253
中山　雅史,2023,沼津,J3,38,15,6,17,13位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=14253
中山　雅史,2024,沼津,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=14253
中山　雅史,2024,沼津,J3,38,15,7,16,10位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=14253
中山　雅史,2025,沼津,YLC,1,0,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=14253
中山　雅史,2025,沼津,J3,27,3,9,15,20位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=14253
永井　秀樹,-,-,-,-,-,-,-,89,https://data.j-league.or.jp/SFIX07/?staff_id=12340
永井　秀樹,2019,東京Ｖ,J2,20,7,5,8,13位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12340
永井　秀樹,2020,東京Ｖ,J2,42,13,15,14,12位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12340
永井　秀樹,2021,東京Ｖ,J2,27,10,7,10,12位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=12340
永井　良和,36,-,22,14,3,1,10,107,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,1993,市原,J,18,9,-,9,5位/10チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,1993,市原,J,18,5,-,13,9位/10チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,1993,市原,YNC,6,2,-,4,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,1999,新潟,YNC,2,0,0,2,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,1999,新潟,J2,36,20,2,14,4位/10チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,2000,新潟,YNC,2,0,0,2,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,2000,新潟,J2,40,15,5,20,7位/11チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,2001,横浜FC,YNC,4,1,1,2,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1135
永井　良和,2001,横浜FC,J2,31,11,1,19,9位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1135
長澤　和明,-,-,-,5,2,-,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=172
長澤　和明,1993,磐田,YNC,5,2,-,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=172
長澤　徹,3,1,2,6,2,1,3,198,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2013,磐田,J1,3,0,1,2,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2013,磐田,YNC,2,0,1,1,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2015,岡山,J2,42,12,18,12,11位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2016,岡山,J2,42,17,14,11,6位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2017,岡山,J2,42,13,16,13,13位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2018,岡山,J2,42,14,11,17,15位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2019,Ｆ東23,J3,34,9,9,16,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2024,大宮,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2024,大宮,J3,38,25,10,3,1位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2025,大宮,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長澤　徹,2025,大宮,J2,30,13,8,9,6位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1856
長島　裕明,-,-,-,-,-,-,-,42,https://data.j-league.or.jp/SFIX07/?staff_id=2556
長島　裕明,2016,徳島,J2,42,16,9,17,9位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2556
ナチョ　フェルナンデス,-,-,-,-,-,-,-,20,https://data.j-league.or.jp/SFIX07/?staff_id=17661
ナチョ　フェルナンデス,2022,琉球,J2,20,5,7,8,21位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=17661
名塚　善寛,-,-,-,-,-,-,-,67,https://data.j-league.or.jp/SFIX07/?staff_id=4307
名塚　善寛,2021,山口,J2,11,2,5,4,15位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4307
名塚　善寛,2022,山口,J2,42,13,11,18,16位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4307
名塚　善寛,2023,山口,J2,14,3,5,6,20位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4307
名波　浩,119,38,44,28,11,2,15,74,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2014,磐田,J2,9,2,5,2,4位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2015,磐田,J2,42,24,10,8,2位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2016,磐田,J1,17,6,5,6,8位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2016,磐田,J1,17,2,7,8,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2016,磐田,YLC,6,1,2,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2017,磐田,J1,34,16,10,8,6位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2017,磐田,YLC,6,3,0,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2018,磐田,J1,34,10,11,13,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2018,磐田,YLC,8,4,0,4,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2019,磐田,J1,17,3,5,9,18位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2019,磐田,YLC,8,3,0,5,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2021,松本,J2,23,3,6,14,22位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
名波　浩,2022,松本,J3,34,20,6,8,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=6515
鳴尾　直軌,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=5237
鳴尾　直軌,2014,盛岡,J3,33,12,9,12,5位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5237
鳴尾　直軌,2015,盛岡,J3,36,8,11,17,11位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5237
ニカノール,82,-,34,27,13,6,8,-,https://data.j-league.or.jp/SFIX07/?staff_id=584
